zipcode,returns,income,mean_income
28657,3290,126751000,38526.13982
28421,630,24192000,38400
28357,1110,42517000,38303.6036
28434,460,17614000,38291.30435
28385,1420,54349000,38273.94366
28399,740,28302000,38245.94595
27316,2810,107317000,38191.1032
27953,440,16792000,38163.63636
28213,19370,738908000,38147.03149
28587,120,4574000,38116.66667
28420,1460,55620000,38095.89041
27883,1520,57895000,38088.81579
28339,2820,107379000,38077.65957
28635,1500,57094000,38062.66667
27704,17460,664432000,38054.52463
27962,2980,113354000,38038.25503
28617,830,31514000,37968.6747
27311,1330,50474000,37950.37594
27325,2580,97621000,37837.5969
28669,1190,44954000,37776.47059
28642,2210,83324000,37703.16742
27508,830,31268000,37672.28916
27573,4850,182646000,37658.96907
27401,7940,298890000,37643.57683
28338,1720,64722000,37629.06977
28439,540,20307000,37605.55556
28307,5900,221551000,37551.01695
27928,820,30675000,37408.53659
27888,1040,38835000,37341.34615
27864,2020,75291000,37272.77228
27242,780,29007000,37188.46154
28781,310,11508000,37122.58065
28431,2660,98714000,37110.52632
28159,1350,50091000,37104.44444
28708,230,8516000,37026.08696
27853,190,7034000,37021.05263
28463,2820,104300000,36985.8156
28693,570,21012000,36863.15789
28217,13250,487836000,36817.81132
28905,1210,44525000,36797.52066
28448,380,13914000,36615.78947
27891,2200,80499000,36590.45455
28530,3400,124327000,36566.76471
28170,4610,168236000,36493.70933
27217,15830,577607000,36488.12382
28622,890,32421000,36428.08989
27610,30910,1119331000,36212.58492
27893,16030,579878000,36174.54772
27874,1770,64016000,36167.23164
28578,2300,83125000,36141.30435
28772,800,28911000,36138.75
28372,5180,186596000,36022.39382
28572,3100,111579000,35993.22581
28643,1240,44616000,35980.64516
28345,4890,175717000,35933.94683
28442,610,21892000,35888.52459
28073,2090,74862000,35819.13876
28615,690,24705000,35804.34783
27209,1830,65442000,35760.65574
27839,1230,43974000,35751.21951
27925,1590,56816000,35733.33333
27536,7110,253416000,35642.19409
28384,4590,163406000,35600.43573
28441,1250,44411000,35528.8
27805,1370,48620000,35489.05109
27866,320,11354000,35481.25
28363,450,15962000,35471.11111
28393,850,30127000,35443.52941
27922,340,12022000,35358.82353
28360,4690,165170000,35217.48401
28052,13770,479992000,34857.80683
28351,1920,66905000,34846.35417
27843,400,13877000,34692.5
28458,2370,82070000,34628.69198
27857,520,17998000,34611.53846
27871,1860,64279000,34558.60215
27589,2840,96997000,34153.87324
28909,430,14668000,34111.62791
28091,920,31216000,33930.43478
27872,160,5427000,33918.75
27840,260,8798000,33838.46154
27832,1250,42246000,33796.8
28538,940,31751000,33777.65957
28398,2960,99284000,33541.89189
27897,590,19711000,33408.47458
28501,7540,251250000,33322.28117
27203,8910,295907000,33210.66218
28508,1050,34667000,33016.19048
27869,830,27337000,32936.14458
27563,1820,59902000,32913.18681
27824,510,16761000,32864.70588
28333,4730,153874000,32531.50106
28377,4370,142094000,32515.78947
28369,860,27895000,32436.04651
28726,1470,47627000,32399.31973
27405,20280,656498000,32371.69625
28383,2750,88664000,32241.45455
28343,600,19241000,32068.33333
28340,3790,120959000,31915.30343
28364,4780,152555000,31915.27197
28543,1680,53395000,31782.7381
28453,1450,46020000,31737.93103
27849,640,20248000,31637.5
27917,300,9455000,31516.66667
28464,980,30843000,31472.44898
27823,2990,93945000,31419.73244
27844,1100,34490000,31354.54545
27831,1160,36184000,31193.10345
28160,1480,45812000,30954.05405
28212,18350,560295000,30533.78747
27821,150,4557000,30380
28301,6380,191928000,30082.75862
27229,1880,55761000,29660.10638
27801,7910,233350000,29500.63211
28544,2270,66657000,29364.31718
28386,2140,62118000,29027.1028
27105,16740,485179000,28983.21386
28347,410,11859000,28924.39024
28208,17110,494503000,28901.40269
28206,5620,160670000,28588.96797
28119,1090,30627000,28098.16514
27260,9890,267914000,27089.38322
27847,330,8919000,27027.27273
28452,320,8520000,26625
